Sat Jan 20 19:25:55 CST 2024

Device Version Info = 1746_0_01
BQZ Device Name = bq27z746
BQZ Firmware Version = 0_01


Sample,DateTime,ElapsedTime,Voltage,Current,LogRowTime(ms),LogStatus
120,2024-01-20 19:27:56,121.377,3876,-3183,29,SUCCESS
121,2024-01-20 19:27:57,122.391,3876,-3187,34,SUCCESS
122,2024-01-20 19:27:58,123.393,3876,-3183,30,SUCCESS
123,2024-01-20 19:27:59,124.405,3875,-3183,34,SUCCESS
124,2024-01-20 19:28:00,125.420,3875,-3180,33,SUCCESS
125,2024-01-20 19:28:01,126.426,3875,-3180,30,SUCCESS
126,2024-01-20 19:28:02,127.437,3875,-3180,34,SUCCESS
127,2024-01-20 19:28:03,128.451,3875,-3180,36,SUCCESS
128,2024-01-20 19:28:04,129.453,3875,-3176,33,SUCCESS
129,2024-01-20 19:28:05,130.467,3875,-3180,36,SUCCESS
130,2024-01-20 19:28:06,131.481,3875,-3172,37,SUCCESS
131,2024-01-20 19:28:07,132.496,3874,-3176,22,SUCCESS
132,2024-01-20 19:28:08,133.511,3874,-3168,22,SUCCESS
133,2024-01-20 19:28:09,134.525,3874,-3176,24,SUCCESS
134,2024-01-20 19:28:10,135.539,3874,-3168,26,SUCCESS
135,2024-01-20 19:28:11,136.553,3874,-3172,26,SUCCESS
136,2024-01-20 19:28:12,137.569,3874,-3168,26,SUCCESS
137,2024-01-20 19:28:13,138.582,3874,-3168,29,SUCCESS
138,2024-01-20 19:28:14,139.597,3874,-3165,33,SUCCESS
139,2024-01-20 19:28:16,141.005,3874,-3165,29,SUCCESS
140,2024-01-20 19:28:16,141.625,3874,-3165,32,SUCCESS
141,2024-01-20 19:28:17,142.636,3873,-3165,23,SUCCESS
142,2024-01-20 19:28:18,143.643,3873,-3165,30,SUCCESS
143,2024-01-20 19:28:20,145.008,3873,-3161,25,SUCCESS
144,2024-01-20 19:28:20,145.668,3873,-3161,20,SUCCESS
145,2024-01-20 19:28:21,146.683,3873,-3165,22,SUCCESS
146,2024-01-20 19:28:22,147.697,3873,-3157,23,SUCCESS
147,2024-01-20 19:28:24,149.020,3873,-3157,29,SUCCESS
148,2024-01-20 19:28:24,149.714,3873,-3157,21,SUCCESS
149,2024-01-20 19:28:25,150.730,3873,-3161,23,SUCCESS
150,2024-01-20 19:28:26,151.741,3873,-3157,26,SUCCESS
151,2024-01-20 19:28:28,153.021,3872,-3154,27,SUCCESS
152,2024-01-20 19:28:28,153.771,3872,-3154,27,SUCCESS
153,2024-01-20 19:28:29,154.773,3872,-3154,24,SUCCESS
154,2024-01-20 19:28:30,155.786,3872,-3154,27,SUCCESS
155,2024-01-20 19:28:32,157.038,3872,-3150,26,SUCCESS
156,2024-01-20 19:28:32,157.814,3872,-3157,31,SUCCESS
157,2024-01-20 19:28:33,158.827,3872,-3150,35,SUCCESS
158,2024-01-20 19:28:34,159.840,3872,-3154,36,SUCCESS
159,2024-01-20 19:28:36,161.036,3872,-3150,29,SUCCESS
160,2024-01-20 19:28:37,161.860,3871,-3150,32,SUCCESS
161,2024-01-20 19:28:38,162.862,3871,-3146,31,SUCCESS
162,2024-01-20 19:28:39,163.876,3871,-3150,32,SUCCESS
163,2024-01-20 19:28:40,165.053,3871,-3146,26,SUCCESS
164,2024-01-20 19:28:41,165.903,3871,-3146,35,SUCCESS
165,2024-01-20 19:28:42,166.918,3871,-3143,39,SUCCESS
166,2024-01-20 19:28:43,167.931,3871,-3146,23,SUCCESS
167,2024-01-20 19:28:44,169.054,3871,-3143,26,SUCCESS
168,2024-01-20 19:28:45,169.948,3871,-3146,32,SUCCESS
169,2024-01-20 19:28:46,170.949,3871,-3139,22,SUCCESS
170,2024-01-20 19:28:47,171.964,3871,-3146,22,SUCCESS
171,2024-01-20 19:28:48,173.053,3870,-3139,28,SUCCESS
172,2024-01-20 19:28:49,173.975,3871,-3143,27,SUCCESS
173,2024-01-20 19:28:50,174.987,3870,-3139,32,SUCCESS
174,2024-01-20 19:28:51,175.998,3870,-3139,35,SUCCESS
175,2024-01-20 19:28:52,177.054,3870,-3135,24,SUCCESS
176,2024-01-20 19:28:53,178.003,3870,-3139,30,SUCCESS
177,2024-01-20 19:28:54,179.017,3870,-3135,31,SUCCESS
178,2024-01-20 19:28:55,180.020,3870,-3139,27,SUCCESS
179,2024-01-20 19:28:56,181.068,3870,-3135,26,SUCCESS
180,2024-01-20 19:28:57,182.024,3870,-3135,24,SUCCESS
181,2024-01-20 19:28:58,183.038,3869,-3132,27,SUCCESS
182,2024-01-20 19:28:59,184.041,3869,-3135,23,SUCCESS
